index,total time worked (hours),sick time (hours)
1,752,39.5
2,1020.75,36
3,3700.5,128.75
4,2202.5,66
5,475,14
6,4279.75,119.25
7,1670.5,45.25
8,6047.75,161
9,1535,38.25
10,2967,73.5
11,5943.75,137.75
12,4731,106
13,3362.25,73.5
14,1358,28.25
15,2158,42.25
16,2783.75,53.25
17,7150.25,128.75
18,1793.5,32
19,8150.75,138
20,3427.5,57.5
21,515,8
22,521.75,8
23,2902.25,42
24,3471.25,48
25,7522.5,95.5
26,7803.25,99
27,6728.25,84.75
28,5935,74
29,7510.25,86
30,17142.75,187.5
31,657.5,7
32,3696,39.25
33,15109,149.5
34,7498.5,74
35,2973.25,29.25
36,3664,36
37,4841.25,47.5
38,4631.75,45
39,12796.25,121.25
40,1438.25,13.5
41,3559.5,32
42,850.5,7.5
43,25850.5,224.5
44,2770.5,23.75
45,7212,57.75
46,8852.75,70.5
47,7482,56.5
48,5845,44
49,4208.25,31
50,5589,40
51,719,5
52,2233.75,15.5
53,13387.75,88.75
54,1770.75,10.75
55,6695.25,39.75
56,26360.75,154.75
57,20052.5,115.5
58,2881.75,16
59,1463.25,8
60,16205,86.5
61,15156.2,80
62,19878.5,103.5
63,20807.62,107.5
64,2209.5,11
65,6691.25,33
66,2937,13
67,23213.5,96
68,4152.5,15.5
69,5430.75,19
70,19890.5,62.5
71,21429.25,60.75
72,4953.75,13.75
73,3196.25,8
74,22210.25,53
75,1811.75,4
76,7293.75,15.5
77,5073.25,8.5
78,3691.25,6
79,23830.5,32.5
80,9174,12.5
81,3283,4
82,11015.25,12.5
83,10462.5,11.5
84,19986,20
85,5058,5
86,27269.5,20
87,3582.75,1.25
88,3540.75,0
89,2469.5,0
90,2122.75,0
91,2062.5,0
92,377,0
